,Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),time_idx,month
44406,2018-11-19 08:30:00,3462.18798828125,16.5629196166992,3600.0,44406,11
44407,2018-11-19 08:40:00,3463.06494140625,16.8176898956298,3600.0,44407,11
44408,2018-11-19 08:50:00,3462.87109375,17.0117397308349,3600.0,44408,11
44409,2018-11-19 09:00:00,3599.34399414062,17.1695404052734,3600.0,44409,11
44410,2018-11-19 09:10:00,3602.4951171875,17.5567893981933,3600.0,44410,11
44411,2018-11-19 09:20:00,3602.60107421875,15.9708404541015,3600.0,44411,11
44412,2018-11-19 09:30:00,3602.64111328125,15.395870208740199,3600.0,44412,11
44413,2018-11-19 09:40:00,3602.30590820312,14.6036796569824,3600.0,44413,11
44414,2018-11-19 09:50:00,3581.52905273437,14.969200134277301,3600.0,44414,11
44415,2018-11-19 10:00:00,3562.95092773437,12.963890075683501,3597.7943109337707,44415,11
44416,2018-11-19 10:10:00,3495.76293945312,12.843370437622001,3595.96841345349,44416,11
44417,2018-11-19 10:20:00,3593.0400390625,13.3558702468872,3600.0,44417,11
44418,2018-11-19 10:30:00,3597.72509765625,14.3483200073242,3600.0,44418,11
44419,2018-11-19 10:40:00,3603.2548828125,15.239459991455,3600.0,44419,11
44420,2018-11-19 10:50:00,3602.80297851562,14.6410598754882,3600.0,44420,11
44421,2018-11-19 11:00:00,3599.93701171875,14.2924900054931,3600.0,44421,11
44422,2018-11-19 11:10:00,3601.31591796875,14.2182703018188,3600.0,44422,11
44423,2018-11-19 11:20:00,3327.40502929687,11.8744497299194,3501.0628749366497,44423,11
44424,2018-11-19 11:30:00,3079.16088867187,11.235670089721598,3349.4549320258093,44424,11
44425,2018-11-19 11:40:00,3524.47509765625,12.0523996353149,3529.864121661011,44425,11
44426,2018-11-19 11:50:00,3203.03491210937,11.1358699798583,3318.33329936972,44426,11
44427,2018-11-19 12:00:00,2268.89404296875,9.12882900238037,2227.35118821193,44427,11
44428,2018-11-19 12:10:00,2331.77001953125,9.31523036956787,2348.86128077114,44428,11
44429,2018-11-19 12:20:00,2044.2889404296798,9.53671646118164,2468.7128744013003,44429,11
44430,2018-11-19 12:30:00,1572.1999511718698,8.28261947631835,1695.75431167707,44430,11
44431,2018-11-19 12:40:00,1758.8089599609302,8.544662475585929,1855.6060597744101,44431,11
44432,2018-11-19 12:50:00,1524.83801269531,7.75938320159912,1395.36426642615,44432,11
44433,2018-11-19 13:00:00,2622.34106445312,9.67389869689941,2572.08888991532,44433,11
44434,2018-11-19 13:10:00,2573.59301757812,9.76091575622558,2634.25765757907,44434,11
